[29 June 2017 18:16:37]org.jboss.logging|DEBUG : Logging Provider: org.jboss.logging.Log4jLoggerProvider
[29 June 2017 18:16:37]org.hibernate.integrator.internal.IntegratorServiceImpl|DEBUG : Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[29 June 2017 18:16:37]org.hibernate.integrator.internal.IntegratorServiceImpl|DEBUG : Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[29 June 2017 18:16:38]org.hibernate.integrator.internal.IntegratorServiceImpl|DEBUG : Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[29 June 2017 18:16:38]org.hibernate.Version|INFO : HHH000412: Hibernate Core {5.2.10.Final}
[29 June 2017 18:16:38]org.hibernate.cfg.Environment|INFO : HHH000206: hibernate.properties not found
[29 June 2017 18:16:38]org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver|DEBUG : Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd]
[29 June 2017 18:16:38]org.hibernate.orm.deprecation|WARN : HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time.
[29 June 2017 18:16:38]org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver|DEBUG : Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[29 June 2017 18:16:38]org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor|DEBUG : cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[29 June 2017 18:16:40]org.hibernate.cfg.Configuration|DEBUG : Building session factory using internal StandardServiceRegistryBuilder
[29 June 2017 18:16:40]org.hibernate.service.spi.ServiceBinding|DEBUG : Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[29 June 2017 18:16:40]org.hibernate.cfg.Configuration|DEBUG : Building session factory using provided StandardServiceRegistry
[29 June 2017 18:16:40]org.hibernate.cache.internal.RegionFactoryInitiator|DEBUG : Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[29 June 2017 18:16:40]org.hibernate.annotations.common.Version|INFO : HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration boolean -> org.hibernate.type.BooleanType@7ee5d04a
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration boolean -> org.hibernate.type.BooleanType@7ee5d04a
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7ee5d04a
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@29757efc
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration true_false -> org.hibernate.type.TrueFalseType@23a5a57b
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration yes_no -> org.hibernate.type.YesNoType@1b08265c
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration byte -> org.hibernate.type.ByteType@5b160a33
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration byte -> org.hibernate.type.ByteType@5b160a33
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5b160a33
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration character -> org.hibernate.type.CharacterType@3c31a286
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration char -> org.hibernate.type.CharacterType@3c31a286
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3c31a286
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration short -> org.hibernate.type.ShortType@2adb0219
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration short -> org.hibernate.type.ShortType@2adb0219
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2adb0219
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration integer -> org.hibernate.type.IntegerType@7461b309
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration int -> org.hibernate.type.IntegerType@7461b309
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7461b309
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration long -> org.hibernate.type.LongType@772fc931
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration long -> org.hibernate.type.LongType@772fc931
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Long -> org.hibernate.type.LongType@772fc931
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration float -> org.hibernate.type.FloatType@54a87348
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration float -> org.hibernate.type.FloatType@54a87348
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Float -> org.hibernate.type.FloatType@54a87348
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration double -> org.hibernate.type.DoubleType@2c93b034
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration double -> org.hibernate.type.DoubleType@2c93b034
[29 June 2017 18:16:40]org.hibernate.type.BasicTypeRegistry|DEBUG : Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2c93b034
